,a,b,c
0,n02116738,African_hunting_dog,0.3287633
1,n02108915,French_bulldog,0.10371411
2,n01675722,banded_gecko,0.072504036
3,n02606052,rock_beauty,0.020613024
4,n02096585,Boston_bull,0.012642154
