,a,b,c
0,n02108915,French_bulldog,0.8826257
1,n02096585,Boston_bull,0.11592279400000001
2,n02108089,boxer,0.0006162198
3,n02087046,toy_terrier,0.00035782528
4,n02085620,Chihuahua,9.742773499999999e-05
